0	17	25.4	7.2	10.6	12.7
2.5	24.9	37.3	12	15.6	17.1
5	38.3	56.2	19.1	22	22.3
7.5	61.4	114.6	25.5	26.36	24.7
10	139.4	204.5	36.14	33.62	29.73
12.5	286.1	378	47.3	41.02	34.52
15	615	675.1	58.2	47.59	38.8
17.5	1191	1067	66.9	52.9	42.17
20	1824	1398	72.41	56.19	44.15
22.5	2124	1482	74.66	57.92	44.6
25	1875	1258	73.18	56.28	43.8
27.5	1237	866	67.89	53.07	41.19
30	629	500.7	59.34	47.85	38.33
32.5	283.3	266.4	49.22	40.73	33.82
35	132	141.5	37.79	33.67	28.75
37.5	67	79.6	27.13	26.52	23.87
40	33.4	40.95	18.53	19.76	18.9
42.5	20.6	26.53	13.5	16	14.64
45	15.4	17.82	8.4	11.1	12.5
47.5	10.6	14.1	5	7.4	9.1
50	7.5	10.2	2.9	4.8	6.5
