,Diameter [px],Global contrasts,Contrast modulation / visibility,"is fully developed (1:yes, 0:no)? (256 bins)"
substracted_im_0.tiff,11.0,0.14624774445122754,0.5396610169491526,0.0
substracted_im_1.tiff,10.5,0.09179933090324574,0.3862404056052391,0.0
substracted_im_2.tiff,11.0,0.06338859190352467,0.2679745021495281,0.0
substracted_im_3.tiff,10.5,0.037932458964540845,0.16472184531886025,0.0
substracted_im_4.tiff,7.5,0.029070243696022617,0.1706737361733248,0.0
substracted_im_5.tiff,4.0,0.04379438352024054,0.2505759765420463,0.0
substracted_im_6.tiff,4.0,0.05400826660714388,0.26186518214971455,0.0
substracted_im_7.tiff,4.0,0.05439667925815357,0.3269626385294313,0.0
substracted_im_8.tiff,4.0,0.049944927673432664,0.2816712451287293,0.0
substracted_im_9.tiff,7.5,0.029695137400758888,0.13952043013860985,0.0
